CVE ESTADO,CVE MUNICIPIO,emisiones NOx,,,,,,,,,,,,,,,,,,
,,Asados_al_carbon,Combustion_Agricola,Combustion_Comercial,Combustion_Domestica,Combustion_industrial,Incendios_en_construcciones,Incendios_Forestales,Ladrilleras,Quema_de_Residuos,Quemas_Agricolas,Rellenos_Sanitarios, cruces fronterizos ,Embarcaciones_marinas,Equipo_basico_eropouertos,Locomotoras_patio,Locomotoras_arrastre,Maquinara_agricola,Terminales_autobuses,
07,039,07039,0.00915918,0,0.201181769,24.64146829,0.060625695,0.000139719,0,0,0.511797226,7.436233742,0,0,0,0,0,0,2.944171202,0
07,040,07040,0.10576128,0,2.890253603,30.79056438,3.396168491,0.000591286,1.503749193,0,0.31929834,59.33541873,0,0,0,0,0,20.12555772,3.984111701,0
07,041,07041,0.04642292,0,0.600943818,49.87124559,0.228165271,0.000335908,0,0,0.048124958,14.64494956,0,0,0,0,0,0,4.867089411,0
07,042,07042,0.01237632,0,0.10232521,10.28699302,0.007853418,0.000117995,0,0,0.013111324,1.337142451,0,0,0,0,0,0,0.763663587,0
07,043,07043,0.01604468,0,0.169963908,7.664689918,0.052356118,9.61703E-05,0,0,0.034494826,0.262676515,0,0,0,0,0,0,0.149996213,0
07,044,07044,0.02100224,0,0.240204095,22.59923994,0.060625695,0.000159986,0.482012706,0,0.535031099,6.373276321,0,0,0,0,0,0,0.894606573,0
07,045,07045,0.00398773,0,0.045092465,5.449623606,0.002617806,3.69963E-05,0,0,0.025873824,0.256680187,0,0,0,0,0,0,0.180558102,0
07,046,07046,0.04089987,0,0.388488933,29.04828554,0.223377431,0.000310958,69.41613134,0.351830417,0.478373081,13.73346859,0,0,0,0,0,0,2.489706971,0
07,047,07047,0.01515396,0,0.125738606,18.34416335,0.047120506,0.000176403,2.132240832,0.351830417,0.071790093,3.343495794,0,0,0,0,0,0,1.178231126,0
07,048,07048,0.02331401,0,0.389356096,10.96164155,0.137790543,0.000213359,0,0,0.22401943,2.602213828,0,0,0,0,0,50.31389431,1.400731903,0
07,049,07049,0.0084384,0,0.253211537,22.98648083,0.218557979,0.000182905,0,0,0.511898583,2.492241623,0,0,0,0,0,0,1.321667403,0
07,050,07050,0.00643135,0,0.093653582,5.25425889,0.034447636,6.67682E-05,0,0,0.068248043,3.855630994,0,0,0,0,0,0,1.314161199,0
07,051,07051,0.06029647,0,1.42301415,34.96954682,1.478810402,0.000575325,3.675777727,0.351830417,0.110479259,4.396579534,0,0,0,0,0,48.26026597,11.81895995,0
07,052,07052,0.08196675,0,1.011111821,113.5145423,0.649542363,0.000703724,0,0,1.009697348,23.30900589,0,0,0,0,0,0,9.283729836,0
07,053,07053,0.00496049,0,0.052896931,7.119666166,0.018324641,3.14015E-05,0.798866759,0,0.103130439,1.096588401,0,0,0,0,0,0,0.379491699,0
07,054,07054,0.03788197,0,0.61395126,26.51857704,0.422907868,0.000341432,1.850302292,0,2.35699384,17.55621198,0,0,0,0,0,0,5.037767967,0
07,055,07055,0.00916211,0,0.146550513,4.073695373,0.015706835,6.50712E-05,0,0,0.041712789,1.716328931,0,0,0,0,0,0,0.421216988,0
07,056,07056,0.00259891,0,0.048561117,12.07596471,0.005235612,9.15331E-05,0,0,0.339042028,1.329503917,0,0,0,0,0,0,0.538068258,0
07,057,07057,0.07809915,0,1.762941966,51.38197407,0.523100398,0.000517751,2.50506255,0.351830417,1.817639062,19.15992891,0,0,0,0,0,0,7.323063218,0
07,058,07058,0.01345456,0,0,4.585311766,0,3.73491E-05,0,0,0.001523015,1.54755412,0,0,0,0,0,0,0.461625175,0
07,059,07059,0.22163106,0,3.037671278,169.5680821,1.081404102,0.000840431,0.347553361,0,2.215589149,36.73622039,0,0,0,0,0,0,16.95064115,0
07,060,07060,0.01543817,0,0.083247629,12.14578578,0.015706835,7.72185E-05,0,0,0.134724397,1.898201758,0,0,0,0,0,0,0.679727086,0
07,061,07061,0.14973179,0,1.758606152,58.08086747,5.365377208,0.000813062,1.955344585,0.351830417,1.070393167,26.45003501,0,0,0,0,0,0,4.315336076,0
07,062,07062,0.009962,0,0.332123351,14.43041683,1.3149983,0.000161819,0,0,0.145880484,4.44715638,0,0,0,0,0,0,1.919261013,0
